serial,movie_title,rates,year
1,The Shawshank Redemption,9.23486275346598,1994
2,The Godfather,9.156477600998336,1972
3,The Dark Knight,8.98816032099543,2008
4,The Godfather Part II,8.984445410875251,1974
5,12 Angry Men,8.949820254044655,1957
6,Schindler's List,8.936929813196599,1993
7,The Lord of the Rings: The Return of the King,8.925711101882378,2003
8,Pulp Fiction,8.84916399068924,1994
9,The Lord of the Rings: The Fellowship of the Ring,8.806443371249825,2001
1," Il buono, il brutto, il cattivo",8.792076391785114,1966
11,Forrest Gump,8.767895466561102,1994
12,Fight Club,8.74896183948909,1999
13,Inception,8.73325842788443,2010
14,The Lord of the Rings: The Two Towers,8.731399396255707,2002
15,The Empire Strikes Back,8.700731439497707,1980
16,The Matrix,8.670190104021986,1999
17,Goodfellas,8.65232348934582,1990
18,One Flew Over the Cuckoo's Nest,8.64003797629423,1975
19,Se7en,8.604281403824928,1995
20,Shichinin no samurai,8.59905711692572,1954
21,It's a Wonderful Life,8.596448753796697,1946
22,The Silence of the Lambs,8.588241116866543,1991
23,Cidade de Deus,8.579301111969853,2002
24,Saving Private Ryan,8.578763146005722,1998
25,La vita è bella,8.566748170983299,1997
26,The Green Mile,8.561371568464015,1999
27,Interstellar,8.561222299977706,2014
28,Star Wars,8.552159444284591,1977
29,Terminator 2: Judgment Day,8.536289542340349,1991
30,Back to the Future,8.517843751532775,1985
31,Sen to Chihiro no kamikakushi,8.515552169987737,2001
32,Psycho,8.508095601916104,1960
33,The Pianist,8.505799303966004,2002
34,Léon,8.49788463894042,1994
35,Gisaengchung,8.497028220116077,2019
36,The Lion King,8.488476823999918,1994
37,Gladiator,8.48638092556801,2000
38,American History X,8.483515539082374,1998
39,The Departed,8.47561400294771,2006
40,The Usual Suspects,8.4741231421331,1995
41,The Prestige,8.468571146408019,2006
42,Casablanca,8.46405854616396,1942
43,Whiplash,8.463180858201085,2014
44,The Intouchables,8.453799843635823,2011
45,Hotaru no haka,8.45130120177175,1988
46,Seppuku,8.450842450142952,1962
47,Modern Times,8.448621021608819,1936
48,Once Upon a Time in the West,8.445833659083899,1968
49,Rear Window,8.437100246153614,1954
50,Alien,8.434453434308608,1979
51,City Lights,8.434222817610543,1931
52,Nuovo Cinema Paradiso,8.431426165074464,1988
53,Apocalypse Now,8.424532084007906,1979
54,Memento,8.423701217035042,2000
55,Raiders of the Lost Ark,8.410084419803317,1981
56,Django Unchained,8.404937893983355,2012
57,WALL·E,8.393730191557742,2008
58,The Lives of Others,8.3855313469437,2006
59,Sunset Blvd,8.382804691027207,1950
60,Paths of Glory,8.3718477879224,1957
61,The Shining,8.366728912244275,1980
62,The Great Dictator,8.365880725125077,1940
63,Avengers: Infinity War,8.3594722063459,2018
64,Witness for the Prosecution,8.359469478924556,1957
65,Aliens,8.343824894139681,1986
66,American Beauty,8.335217009885056,1999
67,Spider-Man: Into the Spider-Verse,8.332275403127685,2018
68,Top Gun: Maverick,8.331785299926842,2022
69,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.331569992700828,1964
70,The Dark Knight Rises,8.328107144820988,2012
71,Oldeuboi,8.320134883721181,2003
72,Joker,8.31729902675439,2019
73,Amadeus,8.315782282167365,1984
74,Braveheart,8.31498924895182,1995
75,Toy Story,8.314827504031578,1995
76,Coco,8.313565037117344,2017
77,Inglourious Basterds,8.313495719455025,2009
78,Das Boot,8.312352957083219,1981
79,Avengers: Endgame,8.303854053265043,2019
80,Mononoke-hime,8.303515155853342,1997
81,Once Upon a Time in America,8.297849629957508,1984
82,Good Will Hunting,8.28853637290078,1997
83,Kimi no na wa,8.27821034313746,2016
84,Requiem for a Dream,8.275556604899759,2000
85,Toy Story 3,8.275086633541177,2010
86,Singin' in the Rain,8.273361189289544,1952
87,3 Idiots,8.272536926475835,2009
88,Tengoku to jigoku,8.267351029889321,1963
89,Star Wars: Episode VI - Return of the Jedi,8.266568025457335,1983
